PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,IC50 StdDev,Inhibition 1,Inhibition 2,Inhibition 3,Inhibition 4,Inhibition 5,Inhibition 6,Inhibition 7,Inhibition 8,Inhibition 9,Inhibition 10,Inhibition,Inhibition 11,Inhibition 12,Inhibition 13,Inhibition 14,Inhibition 15,Inhibition 16,Inhibition 17,Inhibition 18,Inhibition 19,Inhibition 20,Inhibition 21,Inhibition 22,Inhibition 23,Verification
26736081,730195,Inactive,0,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,verified
26736082,16749973,Active,80,,,0.083,0.008,95.5,,,,,,,,,,,,,,97.48,,89.54,,75.1,,58.06,41.88,29.93,21.91,verified
26736083,16749974,Active,80,,,0.094,0.0063,98.28,,,,,,,,,,,,,,94.69,,87.8,,72.75,,57.26,38.98,25.7,17.51,verified
26736084,16749975,Active,80,,,0.134,0.0085,97.92,,,,,,,,,,,,,,89.27,,78.51,,63.84,,47.97,33.33,20.23,13.14,verified
26736085,16749976,Active,80,,,0.198,0.0237,98.31,,,,,,,,,,,,,,83,,70.32,,54.5,,38.67,28.19,19.4,12.47,verified
26736086,16749977,Active,80,,,0.171,0.022,98.42,,,,,,,,,,,,,,86.3,,74.86,,55.59,,42.84,29.69,21.06,13.01,verified
26736087,16749978,Active,80,,,0.383,0.0247,98.09,,,,,,,97.97,,,,,,,72.23,,56.47,,39.24,,27.09,18.4,11.4,,verified
26736088,16749979,Active,80,,,0.157,0.019,99.28,,,,,,,,,,,,,,91.34,,79.07,,60.61,,42.33,30.22,21.19,13.29,verified
26736089,16749980,Active,80,,,0.246,0.0157,99.28,,,,,,,,,,98.98,,,,82.53,,69.61,,49.63,,33.08,20.42,14.39,,verified
26736090,16749981,Active,80,,,0.23,0.0281,98.75,,,,,,,,,,98.29,,,,80.46,,65.92,,51.88,,35.25,27.17,19.7,,verified
26736091,16749982,Active,80,,,0.304,0.0265,98.53,,,,,,,,,,98.14,,,,79.51,,63.97,,44.04,,28.24,21.28,13.08,,verified
26736092,16749983,Active,80,,,0.389,0.0387,99.14,,,,,,,,,,90.68,,,,72.74,,55.47,,39.09,,27.99,17.43,14.5,,verified
26736093,16749984,Active,80,,,0.306,0.0273,98.09,,,,,,,,,,89.87,,,,75.09,,60.09,,43.03,,33.23,23.45,15.1,,verified
26736094,16749985,Active,80,,,0.168,0.0266,98.34,,,,,,,,,,,,,,87.43,,72.92,,56.32,,43.47,30.9,21.66,15.99,verified
26736095,16749986,Active,79,,,0.459,0.0267,99.28,,,,,,,,,,,,71.84,,59.16,,43.98,,17.88,,9.94,,,,verified
26736096,16749987,Active,80,,,0.176,0.0201,99.28,,,,,,,,,,,,,,85.18,,77.41,,57.59,,40,26.84,19.54,,verified
26736097,16749988,Active,80,,,0.277,0.0234,99.42,,,,,,,,,,,,,,80.74,,65.43,,46.06,,30.55,19.84,11.21,,verified
26736098,16749989,Active,80,,,0.244,0.0274,99.31,,,,,,,,,,,,90.78,,82.2,,64.71,,48.37,,35.38,25.64,16.71,,verified
26736099,16749990,Active,80,,,0.23,0.0216,97.59,,,,,,,,,,,,90.17,,80.76,,67.76,,51.78,,34.12,25.89,18.48,,verified
26736100,16749991,Active,79,,,0.432,0.0429,97.53,,,,,,,,,,,,78.19,,68.88,,52.32,,36.73,,27.55,16.9,8.67,,verified
26736101,16749992,Active,80,,,0.197,0.0102,99.22,,,,,,,,,,,,92.47,,85.85,,70.67,,55.6,,38.07,26.31,15.91,,verified
26736102,16749993,Active,80,,,0.214,0.0102,99.5,,,,,,,,,,,,91.29,,84.48,,70.65,,52.2,,37.64,23.23,15.18,,verified
26736103,16749994,Active,80,,,0.304,0.0168,99.11,,,,,,,,,,,,88.02,,80.12,,63.67,,43.45,,28.81,12.76,10.49,,verified
26736104,16749995,Active,80,,,0.137,0.0085,88.04,,,,,,,,,,,,96.03,,90.74,,77.96,,63.38,,45.76,34.53,20.19,,verified
26736105,16749996,Active,80,,,0.369,0.0173,98.42,,,,,,,,,,,,84.37,,73,,56.85,,41.57,,24.45,16.67,8.75,,verified
26736106,16749997,Active,80,,,0.068,0.0054,98.56,,,,,,,,,,,,,,95.51,,87.3,,76.92,,60.16,45.77,36.68,24.77,verified
26736107,16749998,Active,77,,,1.63,0.098,99.28,,96.66,,94.12,,,84.91,,,,,55.41,,35.18,,23.99,,16.15,,,,,,verified
26736108,16749999,Active,78,,,0.958,0.0614,94.84,,,84.85,,82.21,,,74.42,,,63.14,,52.58,,37.82,,30.21,,,,,,,verified
26736109,16750000,Active,79,,,0.754,0.0538,99.72,,,,,89.03,,,81.48,,,69.99,,56.87,,45.7,,37.5,,24.26,,,,,verified
26736110,16750001,Active,79,,,0.531,0.0149,98.97,,,,,96,,,92.33,,,87.08,,,64.86,,49.05,,30.53,,17.03,,,,verified
26736111,16750002,Active,80,,,0.381,0.0159,99.17,,,,,,,,,90.84,,,84.34,,71.36,,55.79,,38.35,,28.7,17.35,,,verified
26736112,16750003,Active,79,,,0.514,0.0256,98.31,,,,,,,,,88.34,,,81.05,,66.29,,49.85,,31.67,,21.39,16.06,,,verified
26736113,16750004,Active,79,,,0.579,0.0176,98.17,,,,,,,,,91.08,,,78.93,,62.49,,47.41,,28.56,,17.04,8.45,,,verified
26736114,16750005,Active,80,,,0.242,0.0077,99.5,,,,,,,,,97.26,,,93.61,,84.1,,72.45,,49.17,,30.79,20.16,,,verified
26736115,16750006,Active,78,,,1.01,0.032,99.42,,,,,,83.28,,,75.31,,,63.8,,46.53,,33.66,,21.09,,12.39,,,,verified
26736116,16750007,Active,79,,,0.795,0.0489,98.11,,,,,,87.66,,,79.71,,,70.34,,54.37,,40.87,,25.89,,19.78,,,,verified
26736117,12344018,Inactive,0,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,verified
26736118,11469767,Inactive,0,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,verified
26736119,730207,Inactive,0,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,verified
26736120,16750008,Inactive,0,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,verified
26736121,853507,Inactive,0,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,verified
26736122,2402646,Inactive,0,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,verified
26736123,730211,Inactive,0,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,verified
26736124,11357027,Inactive,0,,,,,9.05,,,,,,,,,,,,,,,,,,,,,,,,verified
26736125,16750009,Inactive,0,,,,,9.28,,,,,,,,,,,,,,,,,,,,,,,,verified
26736126,12344019,Inactive,0,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,verified
26736127,16750010,Inactive,0,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,verified
26736128,16750011,Inactive,0,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,verified
26736129,16750012,Inactive,0,,,,,16.12,,,,,,,,,,,,,,,,,,,,,,,,verified
26736130,16750013,Inactive,0,,,,,13.59,,,,,,,,,,,,,,,,,,,,,,,,verified
26736131,16750014,Inactive,0,,,,,10.26,,,,,,,,,,,,,,,,,,,,,,,,verified
26736132,16750015,Inactive,0,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,verified
26736133,16750016,Active,41,,,17.3,1.23,96.59,75.11,,53.01,,35.21,,,17.32,,,10.58,,,,,,,,,,,,,verified
26736134,16750017,Inactive,0,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,verified
26736135,927737,Inactive,0,,,,,10.07,,,,,,,,,,,,,,,,,,,,,,,,verified
26736136,16750018,Inactive,0,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,verified
26736137,16750019,Inactive,0,,,,,14.03,,,,,,,,,,,,,,,,,,,,,,,,verified

